Rank,sport,FIS,Last,First,NOC,5,6,7,8,8 1,8 2,9,10,11,12,13,source_pdf,page,14,15,16,17,18,19,20,21,22,23
67,Alpine Women,197651,DIREZ,Clara,FRA,68,1065,0,0,,,68,26,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
68,Alpine Women,6537228,MOLLIN,Allison,USA,63,1070,52,21,(21),,-,0,11,36,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
69,Alpine Women,516394,SUTER,Jasmina,SUI,61,1072,15,32,(32),,-,0,46,22,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
72,Alpine Women,56664,FALCH,Natalie,AUT,56,1077,0,56,56,,27,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
73,Alpine Women,6537468,BOCOCK,Elisabeth,USA,53,1080,0,1,1,,61,52,80,:,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
75,Alpine Women,56302,GRITSCH,Franziska,AUT,52,1081,0,14,14,,41,38,33,:,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
76,Alpine Women,426486,SYLVESTER-DAVIK,M,NOR,49,1084,0,0,,,49,31,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
78,Alpine Women,299630,DELAGO,Nadia,ITA,45,1088,45,23,(23),,-,0,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
78,Alpine Women,516185,HAEHLEN,Joana,SUI,45,1088,,6,6,,42O-,0,39,23,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
80,Alpine Women,307493,ANDO,Asa,JPN,42,1091,0,42,42,,29,-,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
81,Alpine Women,565491,DVORNIK,Neja,SLO,41,1092,0,36,36,,31,5,83,:,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
83,Alpine Women,6535791,WRIGHT,Isabella,USA,37,1096,,37,37,,25,-,0,:,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
83,Alpine Women,108077,GRAY,Cassidy,CAN,37,1096,0,0,,,37,34,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
85,Alpine Women,6535807,CUTLER,Haley,USA,35,1098,,23,23,,28,0,12,34,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
86,Alpine Women,516722,BRAENDLI,Anuk,SUI,32,1101,0,32,32,,32,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
87,Alpine Women,405172,WESTHOFF,Bianca,BAKKE,NOR,31,1402,0,,,31,34,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
88,Alpine Women,6537025,BOCOCK,Mary,USA,29,1104,0,0,,,:,29,25,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
88,Alpine Women,198016,ESCANE,Doriane,FRA,29,1104,0,8,8,,52,21,42,-,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
88,Alpine Women,516705,DURRER,Delia,SUI,29,1104,,22,22,,29,S-,0,7,40,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
88,Alpine Women,6535765,MANGAN,USA,,1104,,0,0,,,29,25,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
92,Alpine Women,206793,DORIGO,Fabiana,GER,28,1105,0,0,,,28,37,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
93,Alpine Women,6295352,GHISALBERTI,Ilaria,ITA,25,1108,0,0,,,25,39,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
94,Alpine Women,516619,HOEPLI,Aline,SUI,24,1109,0,24,24,,36,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
95,Alpine Women,56417,FEST,Nadine,AUT,23,1110,98,39,(39),,:,15,31,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
96,Alpine Women,6536171,HENSIEN,Katie,USA,2201111,,0,22,22,,41,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
97,Alpine Women,516504,DANIOTH,Aline,SUI,21,1112,0,2137,2137),,:,,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
97,Alpine Women,507011,LOEVBLOM,Hilma,SWE,21,1112,0,0,,,21,42,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
97,Alpine Women,185475,PYKALAINEN,Erika,FIN,21,1112,0,0,,,21,42,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
100,Alpine Women,6537254,MORITZ,Liv,USA,20,1113,0,20,20,,38,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
101,Alpine Women,6296281,MONDINELLI,Emilia,ITA,19,1114,0,19,19,,40,-,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
102716171,Alpine Women,102716171,MUZAFERWA,Elvedina,BIH,1117,,0,0,,,16,30,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
102,Alpine Women,516219,MING-NUFER,Priska,SUI,16,1117,13,33,(33),,-,0,3,43,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
104,Alpine Women,107747,SMART,Amelia,CAN,14,1119,0,14,14,,41,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
105,Alpine Women,25218,MIJARES,RUF,CARLA,AND,13,1120,0,,,13,44,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
105,Alpine Women,6296299,VALLERIANI,Giulia,ITA,13,1120,0,13,13,,44,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
105,Alpine Women,516895,ALLENBACH,Dania,SUI,13,1120,0,-,-,,13,45,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
108,Alpine Women,6205835,PAZZAGLIA,Alice,ITA,12,1121,0,0,,,12,46,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
109,Alpine Women,56519,WECHNER,Lena,AUT,1,1122011,36,-,-,,:,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
109,Alpine Women,56258,AGER,Christina,AUT,1,4122,10,@7,@7),,,0,1,46,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
11,Alpine Women,155728,DUBOVSKA,Martina,CZE,10,1123,0,10,10,,46,-,0,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
11,Alpine Women,516530,GOOD,Nicole,SUI,10,1123,0,10,10,,468,0,,,,ALPW------------------------------__C25B_2.0.pdf,2,,,,,,,,,,
57516248,Alpine Women,57516248,FLURY,Jasmine,USA,1231-113,20,0,19,19,,41,,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
58,Alpine Women,6536392,HURT,AJ,USA,127.1236,,28,39,(39),,99,22,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
59,Alpine Women,555072,GERMANE,Dzenifera,LAT,124,1239,0,124,124,,19,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
60,Alpine Women,56217,BRUNNER,Stephanie,AUT,1221241,,0,108,108,,20,14,43,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
61,Alpine Women,516553,CHRISTEN,Eliane,SUI,119,1244,0,119,119,,20,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
62,Alpine Women,209363,ZENERE,Asja,ITA,116,1247,0,-,-,,106,21,10,50,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
63,Alpine Women,426224,MONSEN,Marte,NOR,114,1249108,22,0,,,6,53,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
63,Alpine Women,507109,ARONSSON,ELFMAN,HANNA,SWE,1141249,0,88,88,,25,26,43,:,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
65,Alpine Women,56367,GALLHUBER,Katharina,AUT,144,1252,0,111,111,,21,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
65,Alpine Women,198176,LAMURE,Marie,FRA,1111282,,111,21,(21),,:,,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
67,Alpine Women,209699,PETERLINI,Martina,ITA,107,1256,0,107,107,,23,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
68,Alpine Women,565401,BUCIK,JOGAN,ANA,slo,102,1261,0,,,64,26,38,38,:,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
69,Alpine Women,198253,McFARLANE,Caitlin,FRA,98,1265,0,98,98,,24,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
70,Alpine Women,705428,VLHOVA,Petra,SVK,93,1270,0,63,63,,28,30,40,:,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
72,Alpine Women,616611,SCHMITT,Janine,SUI,85,1278,71,25,(25),,:,14,43,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
72,Alpine Women,56517,ASTNER,Nina,AUT,85,1278,0,0,,,85,26,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
75,Alpine Women,516185,HAEHLEN,Joana,SUI,77,128606,48,0,,,71,27,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
76,Alpine Women,56550,HOERHAGER,Lisa,AUT,76,1287,0,64,64,,26,12,50,:,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
76,Alpine Women,516394,SUTER,Jasmina,SUI,76,1287,21,40,(40),,-,0,55,31,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
78,Alpine Women,516407,KASPER,Vanessa,SUI,74,1289,0,0,,,74,27,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
79,Alpine Women,197651,DIREZ,Clara,FRA,73,1290,0,0,,,73,28,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
80,Alpine Women,516813,PILLER,Sue,SUI,69,1204,0,0,,,69,29,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
81,Alpine Women,299630,DELAGO,Nadia,ITA,67,1296,67,27_s-,(27)_—s-,,:,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
82,Alpine Women,56302,GRITSCH,Franziska,AUT,65,1298,0,22,22,,42,43,3d,:,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
84,Alpine Women,56258,AGER,Christina,AUT,62,1301,32,35,(35),,:,30,37,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
85,Alpine Women,6537468,BOCOCK,Elisabeth,USA,59,1304,0,1,1,,71,58,31,:,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
86,Alpine Women,56664,FALCH,Natalie,AUT,56,1307,0,56,56,,29,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
87,Alpine Women,565463,SLOKAR,Andreja,SLO,55,1308,0,55,55,,30,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
88,Alpine Women,426486,SYLVESTER-DAVIK,M,NOR,54,1309,0,-,-,,54,32,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
89,Alpine Women,56417,FEST,Nadine,AUT,51,1312,16,43,(43),,,0,35,35,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
90,Alpine Women,516705,DURRER,Delia,SUI,47,1316,,36,36,,32,-,0,11,47,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
91,Alpine Women,6536171,HENSIEN,Katie,USA,44,1319,0,4,4,,64,40,36,:,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
92,Alpine Women,307493,ANDO,Asa,JPN,43,1320,0,43,43,,33,,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
93,Alpine Women,6535791,WRIGHT,Isabella,USA,40,1323,40,31,(31),,-,0,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
93,Alpine Women,516219,MING-NUFER,Priska,SUI,40,1323,33,34,(34),,-,0,7,62,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
95,Alpine Women,108077,GRAY,Cassidy,CAN,39,1324,0,0,,,39,37,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
96,Alpine Women,6535765,MANGAN,Tricia,USA,35,1328,0,0,,,-,35,35,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
96,Alpine Women,6535807,CUTLER,Haley,USA,35,1328,23,39,(39),,:,12,45,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
98,Alpine Women,516722,BRAENDLI,Anuk,SUI,32,1331,0,32,32,,36,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
99,Alpine Women,405172,WESTHOFF,Bianca,NOR,,31,1332,0,,,31,37,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
100,Alpine Women,198016,ESCANE,Doriane,FRA,30,1333,0,8,8,,56,22,44,:,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
100,Alpine Women,516619,HOEPLI,Aline,SUI,30,1333,0,30,30,,38,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
100,Alpine Women,6205352,GHISALBERTI,Ilaria,ITA,30,1333,0,0,,,30,40,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
103,Alpine Women,6537025,BOCOCK,Mary,USA,29,1334,0,0,,,:,29,38,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
103,Alpine Women,206793,DORIGO,Fabiana,GER,29,1334,0,0,,,29,42,-,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
106,Alpine Women,198020,CLEMENT,Karen,FRA,27,13360,2,3,3),,:,25,40,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
107,Alpine Women,107798,NULLMEYER,Ali,CAN,26,1337,0,26,26,,41,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
108,Alpine Women,516504,DANIOTH,Aline,SUI,22,1341,0,22,22,,42,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
108,Alpine Women,507011,LOEVBLOM,Hilma,SWE,22,1341,0,0,,,22,44,0,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
110185475,Alpine Women,110185475,PYKALAINEN,Erika,FIN,1342,,0,21,21,,46,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
1116537254,Alpine Women,1116537254,MORITZ,Liv,USA,"1343,",,20,44,(44),,:,,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
111,Alpine Women,6296281,MONDINELLI,Emilia,ITA,20,1343,0,20,20,,44,0,,,,ALPW------------------------------__C26B_6.0.pdf,2,,,,,,,,,,
21,Alpine Women,GRENIER,Valerie,CAN,INTT,21.75,20.23,23,31,31,,Spt:,91.33,7,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
22,Alpine Women,MUZAFERIJA,Elvedina,BIH,INTT,21.76,19.95,17,32,32,,Spt:,90.98,11,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
23,Alpine Women,GAUCHE,Laura,FRA,INTT,21.69,20.13,20,28,28,,Spt:,89.4,24,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
24,Alpine Women,WRIGHT,Isabella,USA,INTT,21.63,20.2,22,0-19,0-19,,Spt:,9227,6,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
25,Alpine Women,CERUTTI,Camille,FRA,INTT,22.61,20.87,28,117,117,,Spt:,86.1,32,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
26,Alpine Women,MORENO,Cande,AND,INTT,21.82,20.38,23,,,,Spt:,89.85,,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
27,Alpine Women,PLESHKOVA,Julia,AIN,INTT,2071,20.49,24,0.27,0.27,,Spt:,9187,6,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
28,Alpine Women,POHJOLAINEN,Rosa,FIN,INTT,22.41,20.63,26,0.97,0.97,,Spt:,87.78,26,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
29,Alpine Women,CAMINAL-SANTURE,Jordina,AND,INTT,21.99,20.52,25,88,88,,Spt:,88.14,25,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
30,Alpine Women,NOVAKOVA,Barbora,CZE,INTT,22.06,21.23,1,62,62,,Spt:,86.96,29,,,ALPWDH----------------------------__C77B_1.0.pdf,3,,,,,,,,,,
1,Alpine Women,6,JOHNSON,BREEZY,,1996,,1:36.10,0,0,,,,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
2,Alpine Women,10,AICHER,EMMA,,2003,,1:36.14,4,4,,,1.07,0.52,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
4,Alpine Women,17,WILES,JACQUELINE,,1992,,1:36.96,86,86,,22.81,11.19,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
40,Alpine Women,56128,HUETTER,Cornelia,,AUT,,1:36.96,86,,,22.81,11.19,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
6,Alpine Women,8,PIROVANO,LAURA,,1997,,1:37.04,94,94,,24.91,12.23,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
7,Alpine Women,9426257,LIE-VICKHOFF,Kajsa,,1998,,1:37.08,0.98,0.98,,25.96,12.75,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
8,Alpine Women,2,RAEDLER,ARIANE,,1995,,1:37.20,110,110,,29.11,14.31,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
9,Alpine Women,12,WEIDLE-WINKELMANN,KIRA,,1996,,1:37.26,116,116,,30.68,15.09,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
10,Alpine Women,3297601,BRIGNONE,Federica,,ITA,,137.29,119,119,,31.46,15.48,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
14,Alpine Women,16,SUTER,CORINNE,,1994,,1:38.01,191,191,,60.12,24.84,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
15,Alpine Women,20,STUHEC,ILKA,,1990,,1:38.08,198,198,,51.92,25.75,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
16,Alpine Women,19,MIRADOLI,ROMANE,,1994,,1:38.10,200,200,,52.44,26.01,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
17,Alpine Women,5,SCHMITT,JANINE,,2000,,"1:38.28,",218,218,,57.05,28.36,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
18,Alpine Women,4,FLURY,JASMINE,,1993,,1:38.51,241,241,,62.92,31.35,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
19,Alpine Women,1516766,BLANC,Malorie,SUI,,,138.77,267,267,,69.53,34.73,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
20,Alpine Women,22716171,MUZAFERIJA,Elvedina,BIH,,,138.81,271,271,,70.54,36.25,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
0,Alpine Women,21246535791,WRIGHT,Isabella,,,,1:38.85,275,275,,71.55,38.77,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
2,Alpine Women,29,CAMINAL,SANTURE Jordina,AND,2003,,1:41.34,5.24,5.24,,68.16.,41.34,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
25,Alpine Women,30,NOVAKOVA,BARBORA,,2002,,"1:41.89,",5.79,5.79,,146.16,75.31,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
26,Alpine Women,32,GRAY,CASSIDY,,2001,,"1:41.99,",5.89,5.89,,148.53,76.61,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
27,Alpine Women,33115279,SCHWENCKE,Matilde,,CHI,,1:43.31,7.21,7.21,,179.50,93.78,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
28,Alpine Women,28,POHJOLAINEN,ROSA,,2003,,1:44.08,7.98,7.98,,197.2,103.8,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
29,Alpine Women,35,LABASTOVA,ALENA,,2002,,1:44.55,8.45,8.45,,207.88,109.91,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
30,Alpine Women,34,BEGUE,NICOLE,ARG,2006,,1:44.73,8.63,8.63,,211.94,112.25,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
31,Alpine Women,316296101,NEGRI,Elisa-MARIA,,2003,,"1:45.48,",9.38,9.38,,228.72,122.01,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
32,Alpine Women,36,SHEPILENKO,ANASTASIA,,2000,,1:47.70,11.6,11.6,,277.02,150.88,,,,ALPWDH----------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
1,Other,GER,LOCHNER,Johannes,,1,46.83,1,98.3,,,1,120.48,1,132.64,1,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,1,54.68,(1),,,,,,,,
2,Other,GER,FRIEDRICH,Francesco,,,46.7,2,97.03,(=5),,119.44,4,131,2,55.16,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,1,(3),,,,,,,,,
3,Other,GER,AMMOUR,Adam,,,46.58,3,97.61,(2),,119.84,2,131,2,55.12,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,1,(2),,,,,,,,,
4,Other,USA,del DUCA,FRANKIE,,4.9010,45.97,10,97.08,97.08,,4,119.36,6,130.43,4,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,1,55.4,(4),,,,,,,,
5,Other,ROU,TENTEA,Mihai,,4.95,17,45.53,18,(18),,96.41,11,118.96,7,130.05,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,1,(5),55.73,(10),,,,,,,
6,Other,SUI,VOGT,Michael,,9,46.07,7,96.61,96.61,,9,118.7310,129.4010,55.64,7,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,1,,,,,,,,,,
7,Other,ITA,BAUMGARTNER,Patrick,,16,45.85,13,97.34,97.34,,3,119.52,3,129.4010,55.58,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,1,(6),,,,,,,,,
8,Other,LAT,KALENDA,Jekabs,,6,46.28,4,96.3,96.3,,14,118.81,9,129.4010,55.68,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,1,(9),,,,,,,,,
9,Other,AUT,TREICHL,Markus,,45.89,12,96.3512,118.26-13,118.26(-13),,129.68,7,55.89,13,,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,2,,,,,,,,,,
10,Other,FRA,HEINRICH,Romain,,46.02,8,96.05,17,(=17),,118.49,12,129.68,7,55.75,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,2,(11),,,,,,,,,
10,Other,NED,WESSELINK,Dave,,45.96,11,97.03,5,(=5),,118.26 13,128.2,14,55.83,12,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,2,,,,,,,,,,
12,Other,GBR,HALL,Brad,,6,46.28,4,96.67,96.67,,8,118.89,8,128.93,13,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,2,55.65,(8),,,,,,,,
13,Other,KOR,KIM,Jinsu,,4,46.09,6,96.15,96.15,,16,118.7310,129.58,9,55.53,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,2,(5),,,,,,,,,
14,Other,SUL,FOLLADOR,Cedric,,18,45.55,16,96.84,96.84,,19,117.95-18,127.84,16,56.17,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,2,(17),,,,,,,,,
18,Other,SUI,ROHNER,Timo,,45.37,20,96.46,10,(10),,119.44,4,129.96,6,55.95,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,2,(14),,,,,,,,,
16,Other,CHN,,,,8,96.05,17,117.9518,117.95(=18),,127.56,17,56.15,16,,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,2,,,,,,,,,,
17,Other,CHN,LIChunjian,,,45.81,14,96.77,7,(7),,118.18-15,127.29,18,55.99,15,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,2,,,,,,,,,,
18,Other,CAN,AUSTIN,Taylor,,45.38,19,96.3512,117.49,117.49,,21,127.02,19,56.18,18,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,3,,,,,,,,,,
19,Other,KOR,SUK,Youngjin,,45.2,24,96.2,15,(15),,118.1815,126.22,22,56.27,19,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,3,,,,,,,,,,
20,Other,LIE,KRANZ,Martin,,45.36,21,95.79,20,(20),,118.1818,128.11,15,56.31,20,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,3,,,,,,,,,,
21,Other,AUT,MANDLBAUER,Jakob,,45.54,17,96.69,21,(21),,117.64,20,126.58,20,56.34,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,3,(21),,,,,,,,,
22,Other,JAM,PITTER,Shane,,23,45.35,22,94.73,94.73,,22,116.73,22,126.49,21,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,3,56.68,(22),,,,,,,,
23,Other,CAN,DEARBORN,Jay,,6,45.67,15,93.79,93.79,,24,116.35,23,124.91,25,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,3,56.74,(23),,,,,,,,
24,Other,BRA,BINDILATTI,Edson-LUQUES,,4.9921,45.29,23,93.55,93.55,,26,115.6,26,126.05,23,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,3,56.95,(24),,,,,,,,
25,Other,TTO,BROWN,Axel,,45.16,25,93.84,23,(23),,116.75,25,124.13,26,57.22,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,3,(25),,,,,,,,,
26,Other,ISR,EDELMAN,Adam,,26,44.7,26,93.75,93.75,,25,116.9,24,125.26,24,BOBMTEAM2-------------FNL---------__C77D_4.0.pdf,3,57.38,(26),,,,,,,,
29,Other,13,FAK,Jakov,SLO,1,0,41,0,0,,2,56:55.5,+5:24.0,,,BTHM20KMIS------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
57,Other,2,YAN,Xingyuan,CHN,0,0,2,1,1,,3,59:01.5,+7:30.0,,,BTHM20KMIS------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
23,Other,11|,HOLLMANN,Maximillian,CAN,3:41.41,12,11:18.6],30,30,,24{24:56.9|,+1:207],52.22,,,CCSM10KMIS------------FNL-000100--__C73A_1.0.pdf,1,,,,,,,,,,
